id,lookup_file,type,MARC_field,Term:en,Term:es
1,List245aCollectionTerms.xml,CAM,245$a,"; and, @en",fake@es
2,List245bCollectionTerms.xml,CAM,245$b,"; and, @en",fake@es
3,List245cCollectionTerms.xml,CAM,245$c,"; and, @en",fake@es
4,List520aCollectionTerms.xml,CAM,520$a,"; and, @en",fake@es
5,List245aCollectionTerms.xml,CAM,245$a,"; plus, @en",fake@es
6,List245bCollectionTerms.xml,CAM,245$b,"; plus, @en",fake@es
7,List245cCollectionTerms.xml,CAM,245$c,"; plus, @en",fake@es
8,List520aCollectionTerms.xml,CAM,520$a,"; plus, @en",fake@es
9,List245aCollectionTerms.xml,CAM,245$a,"; with, @en",fake@es
10,List245bCollectionTerms.xml,CAM,245$b,"; with, @en",fake@es
11,List245cCollectionTerms.xml,CAM,245$c,"; with, @en",fake@es
12,List520aCollectionTerms.xml,CAM,520$a,"; with, @en",fake@es
13,List546aNotParallelTerms.xml,PAM,546$a,1st work@en,fake@es
14,List245cCollectionTerms.xml,CAM,245$c,a bibliography by@en,fake@es
15,List245aCollectionTerms.xml,CAM,245$a,a bibliography@en,fake@es
16,List245bCollectionTerms.xml,CAM,245$b,a bibliography@en,fake@es
17,List520aCollectionTerms.xml,CAM,520$a,a bibliography@en,fake@es
18,List245bCollectionTerms.xml,CAM,245$b,a book of@en,fake@es
19,List245cCollectionTerms.xml,CAM,245$c,a book of@en,fake@es
20,List245aCollectionTerms.xml,CAM,245$a,a catalog@en,fake@es
21,List245bCollectionTerms.xml,CAM,245$b,a catalog@en,fake@es
22,List245cCollectionTerms.xml,CAM,245$c,a catalog@en,fake@es
23,List520aCollectionTerms.xml,CAM,520$a,a catalog@en,fake@es
24,List245aCollectionTerms.xml,CAM,245$a,a catalogue@en,fake@es
25,List245bCollectionTerms.xml,CAM,245$b,a catalogue@en,fake@es
26,List245cCollectionTerms.xml,CAM,245$c,a catalogue@en,fake@es
27,List520aCollectionTerms.xml,CAM,520$a,a catalogue@en,fake@es
28,List245aCollectionTerms.xml,CAM,245$a,a collection of@en,fake@es
29,List245bCollectionTerms.xml,CAM,245$b,a collection of@en,fake@es
30,List245cCollectionTerms.xml,CAM,245$c,a collection of@en,fake@es
31,List520aCollectionTerms.xml,CAM,520$a,a collection of@en,fake@es
32,List245aCollectionTerms.xml,CAM,245$a,a compendium@en,fake@es
33,List245bCollectionTerms.xml,CAM,245$b,a compendium@en,fake@es
34,List245cCollectionTerms.xml,CAM,245$c,a compendium@en,fake@es
35,List520aCollectionTerms.xml,CAM,520$a,a compendium@en,fake@es
36,List245aCollectionTerms.xml,CAM,245$a,a compilation@en,fake@es
37,List245bCollectionTerms.xml,CAM,245$b,a compilation@en,fake@es
38,List245cCollectionTerms.xml,CAM,245$c,a compilation@en,fake@es
39,List520aCollectionTerms.xml,CAM,520$a,a compilation@en,fake@es
40,List245aCollectionTerms.xml,CAM,245$a,a concordance@en,fake@es
41,List245bCollectionTerms.xml,CAM,245$b,a concordance@en,fake@es
42,List245cCollectionTerms.xml,CAM,245$c,a concordance@en,fake@es
43,List520aCollectionTerms.xml,CAM,520$a,a concordance@en,fake@es
44,List245aCollectionTerms.xml,CAM,245$a,a dictionary@en,fake@es
45,List245bCollectionTerms.xml,CAM,245$b,a dictionary@en,fake@es
46,List245cCollectionTerms.xml,CAM,245$c,a dictionary@en,fake@es
47,List520aCollectionTerms.xml,CAM,520$a,a dictionary@en,fake@es
48,List245aCollectionTerms.xml,CAM,245$a,a directory@en,fake@es
49,List245bCollectionTerms.xml,CAM,245$b,a directory@en,fake@es
50,List245cCollectionTerms.xml,CAM,245$c,a directory@en,fake@es
51,List520aCollectionTerms.xml,CAM,520$a,a directory@en,fake@es
52,List245aCollectionTerms.xml,CAM,245$a,a discography@en,fake@es
53,List245bCollectionTerms.xml,CAM,245$b,a discography@en,fake@es
54,List245cCollectionTerms.xml,CAM,245$c,a discography@en,fake@es
55,List520aCollectionTerms.xml,CAM,520$a,a discography@en,fake@es
56,List245aCollectionTerms.xml,CAM,245$a,a filmography@en,fake@es
57,List245bCollectionTerms.xml,CAM,245$b,a filmography@en,fake@es
58,List245cCollectionTerms.xml,CAM,245$c,a filmography@en,fake@es
59,List520aCollectionTerms.xml,CAM,520$a,a filmography@en,fake@es
60,List245aCollectionTerms.xml,CAM,245$a,a genealogy@en,fake@es
61,List245bCollectionTerms.xml,CAM,245$b,a genealogy@en,fake@es
62,List245cCollectionTerms.xml,CAM,245$c,a genealogy@en,fake@es
63,List520aCollectionTerms.xml,CAM,520$a,a genealogy@en,fake@es
64,List245aCollectionTerms.xml,CAM,245$a,a language dictionary@en,fake@es
65,List245bCollectionTerms.xml,CAM,245$b,a language dictionary@en,fake@es
66,List245cCollectionTerms.xml,CAM,245$c,a language dictionary@en,fake@es
67,List520aCollectionTerms.xml,CAM,520$a,a language dictionary@en,fake@es
68,List245aCollectionTerms.xml,CAM,245$a,a miscellany@en,fake@es
69,List245bCollectionTerms.xml,CAM,245$b,a miscellany@en,fake@es
70,List245cCollectionTerms.xml,CAM,245$c,a miscellany@en,fake@es
71,List520aCollectionTerms.xml,CAM,520$a,a miscellany@en,fake@es
72,List245aCollectionTerms.xml,CAM,245$a,a selection@en,fake@es
73,List245bCollectionTerms.xml,CAM,245$b,a selection@en,fake@es
74,List245cCollectionTerms.xml,CAM,245$c,a selection@en,fake@es
75,List520aCollectionTerms.xml,CAM,520$a,a selection@en,fake@es
76,List245aCollectionTerms.xml,CAM,245$a,a symposium@en,fake@es
77,List245bCollectionTerms.xml,CAM,245$b,a symposium@en,fake@es
78,List245cCollectionTerms.xml,CAM,245$c,a symposium@en,fake@es
79,List520aCollectionTerms.xml,CAM,520$a,a symposium@en,fake@es
80,List245aCollectionTerms.xml,CAM,245$a,a treasury of@en,fake@es
81,List245bCollectionTerms.xml,CAM,245$b,a treasury of@en,fake@es
82,List245cCollectionTerms.xml,CAM,245$c,a treasury of@en,fake@es
83,List520aCollectionTerms.xml,CAM,520$a,a treasury of@en,fake@es
84,List245bCollectionTerms.xml,CAM,245$b,a tribute to@en,fake@es
85,ListVMusicCCT_MLA_Type_Plural.xml,CAM,240$a,Abanere@en,fake@es
86,ListVMusicCCT_MLA_Type_Plural.xml,CAM,240$a,Aberturas@en,fake@es
87,List546aNotParallelTerms.xml,PAM,546$a,abstract@en,fake@es
88,ListV650a_655aCollectionTermsUsually.xml,CAM,"650$a, 655$a",Abstracts@en,fake@es
89,ListV650v655vCollectionTermsUsually.xml,CAM,650$v,Abstracts@en,fake@es
90,List546aNotParallelTerms.xml,PAM,546$a,accompan@en,fake@es
91,ListVMusicCCT_MLA_Medium.xml,CAM,240$a,Accordion music@en,fake@es
92,ListV650a_655aCollectionTermsUsually.xml,CAM,"650$a, 655$a",Acrostics (Puzzles)@en,fake@es
93,ListV650v655vCollectionTermsUsually.xml,CAM,650$v,Acrostics (Puzzles)@en,fake@es
94,ListVMusicCCT_MLA_Type_Plural.xml,CAM,240$a,Adagiettos@en,fake@es
95,ListVMusicCCT_MLA_Type_Plural.xml,CAM,240$a,Adagios@en,fake@es
96,List546aNotParallelTerms.xml,PAM,546$a,added material@en,fake@es
97,List300aSuppCont.xml,AAM,300$a,adv.@en,fake@es
98,List300bSuppCont.xml,AAM,300$b,adv.@en,fake@es
99,List546aNotParallelTerms.xml,PAM,546$a,advertisement@en,fake@es
100,List300aSuppCont.xml,AAM,300$a,advertisements@en,fake@es
101,List300bSuppCont.xml,AAM,300$b,advertisements@en,fake@es
102,ListVMusicCCT_MLA_Type_Plural.xml,CAM,240$a,Aequale@en,fake@es
103,List245cAggregators.xml,CAM,245$c,aggregated@en,fake@es
104,List245cAggregators.xml,CAM,245$c,aggregated@en,fake@es
105,List245cAggregators.xml,CAM,245$c,aggregated@en,fake@es
106,List245cAggregators.xml,CAM,245$c,aggregator@en,fake@es
107,List245cAggregators.xml,CAM,245$c,aggregator@en,fake@es
108,List245cAggregators.xml,CAM,245$c,aggregator@en,fake@es
109,ListVAgent4Aggregators.xml,CAM,"1XX$e, 7XX$e",aggregator@en,fake@es
110,ListVMusicCCT_MLA_Type_Plural.xml,CAM,240$a,Aires@en,fake@es
111,ListVMusicCCT_MLA_Type_Plural.xml,CAM,240$a,Airs@en,fake@es
112,ListV650a_655aCollectionTerms.xml,CAM,"650$v, 655$a",Albums (Books)@en,fake@es
113,ListV650v655vCollectionTerms.xml,CAM,650$v,Albums (Books)@en,fake@es
