Source,Regex,Case
List110b245aConferenceTerms.xml,Y,N
List245aCollectionTerms.xml,N,N
List245bCollectionTerms.xml,Y,N
List245cAggregators.xml,Y,N
List245cCollectionTerms.xml,Y,N
List245cIntroductionTerms.xml,Y,N
List300aSuppCont.xml,Y,N
List300bSuppCont.xml,Y,N
List500_520_546aParallelPlusTerms_CaseNo.xml,Y,Y
List500_520ParallelOnlyTerms_CaseNo.xml,N,Y
List520aCollectionTerms.xml,N,Y
List546aNotParallelTerms.xml,N,Y
ListInvertedEtcTerms.xml,N,Y
ListV650a_655aCollectionTerms.xml,N,Y
ListV650a_655aCollectionTermsUsually.xml,N,Y
ListV650v655vCollectionTerms.xml,N,Y
ListV650v655vCollectionTermsUsually.xml,N,Y
ListVAgent4Aggregators.xml,N,Y
ListVAgentEAggregators.xml,N,Y
ListVMusicCCT_MLA_Medium.xml,N,Y
ListVMusicCCT_MLA_Type_Plural.xml,N,Y
ListVTextsCCT.xml,N,Y
